# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov 
# 
# Source: NOAA POES (Whatever is aloft)
# Units: gigawatts

# Format:

# The first line of data contains the four-digit year of the data.
# Each following line is formatted as in this example:

# NOAA-12(S)  10031     9.0  4    .914

# Please note that if the first line of data in the file has a
# day-of-year of 365 (or 366) and a HHMM of greater than 2300, 
# that polar pass started at the end of the previous year and
# ended on day-of-year 001 of the current year.

# A7	NOAA POES Satellite number
# A3	(S) or (N) - hemisphere
# I3	Day of year
# I4	UT hour and minute
# F8.1	Estimated Hemispheric Power in gigawatts
# I3	Hemispheric Power Index (activity level)
# F8.3	Normalizing factor

2002
NOAA-17(N)2590002    24.4  7   1.303
NOAA-16(S)2590009    15.2  5   2.594
NOAA-14(N)2590025    16.7  6    .726
NOAA-15(S)2590049    12.8  5    .790
NOAA-17(S)2590053    20.8  6    .947
NOAA-16(N)2590101    18.4  6   1.142
NOAA-14(S)2590116     9.1  4    .936
NOAA-15(N)2590139    25.1  7   1.168
NOAA-17(N)2590143    16.4  6   1.194
NOAA-16(S)2590153    14.5  5   1.928
NOAA-14(N)2590207     7.6  4    .742
NOAA-15(S)2590230     8.9  4    .888
NOAA-17(S)2590234    12.9  5    .810
NOAA-16(N)2590245    11.6  5   1.207
NOAA-14(S)2590300    11.7  5   1.067
NOAA-15(N)2590321    18.9  6   1.951
NOAA-17(N)2590324    14.7  5   1.091
NOAA-16(S)2590336    11.7  5   1.276
NOAA-14(N)2590350     6.2  3   1.161
NOAA-15(S)2590413    11.4  5   1.020
NOAA-17(S)2590415    10.0  5    .801
NOAA-16(N)2590428     8.5  4    .993
NOAA-14(S)2590443     9.8  5   1.902
NOAA-15(N)2590504    13.5  5   3.207
NOAA-17(N)2590506     9.3  4   1.195
NOAA-16(S)2590519     8.2  4   1.113
NOAA-14(N)2590535     4.3  3   1.642
NOAA-15(S)2590555     6.4  4   1.289
NOAA-17(S)2590557     7.0  4   1.022
NOAA-16(N)2590610    12.2  5    .950
NOAA-14(S)2590626     4.1  3   1.688
NOAA-15(N)2590646    20.3  6   3.822
NOAA-17(N)2590648    12.1  5   1.816
NOAA-16(S)2590701     8.7  4   1.117
NOAA-14(N)2590718     4.1  3   1.533
NOAA-15(S)2590737     5.4  3   1.151
NOAA-17(S)2590739     4.4  3   2.074
NOAA-16(N)2590752     8.1  4    .831
NOAA-14(S)2590809     3.7  2   1.534
NOAA-15(N)2590829    13.9  5   2.501
NOAA-17(N)2590831    12.5  5   2.314
NOAA-16(S)2590843    23.1  6   1.158
NOAA-14(N)2590901     3.2  2   1.117
NOAA-15(S)2590919    10.9  5   1.047
NOAA-17(S)2590922    21.9  6    .854
NOAA-16(N)2590933    25.0  7   1.057
NOAA-14(S)2590952    15.1  5   1.135
NOAA-15(N)2591011    52.3  8   2.436
NOAA-17(N)2591013    16.3  6   2.138
NOAA-16(S)2591024    22.8  6   1.049
NOAA-14(N)2591043    12.8  5    .832
NOAA-15(S)2591101    15.5  6    .995
NOAA-17(S)2591105    23.1  6    .859
NOAA-16(N)2591114    23.2  6   1.164
NOAA-14(S)2591134    21.8  6   1.072
NOAA-15(N)2591152    85.4  9   1.934
NOAA-17(N)2591156    47.0  8   1.238
NOAA-16(S)2591205    18.0  6   1.038
NOAA-14(N)2591225    23.3  6    .909
NOAA-15(S)2591242    18.6  6    .990
NOAA-17(S)2591247    18.6  6    .858
NOAA-16(N)2591255     8.9  4   1.137
NOAA-14(S)2591315    18.1  6   1.008
NOAA-15(N)2591333    36.0  7   1.122
NOAA-17(N)2591338    21.0  6   1.263
NOAA-16(S)2591345    14.5  5   1.029
NOAA-14(N)2591406    28.8  7   1.034
NOAA-15(S)2591423    16.6  6   1.003
NOAA-17(S)2591428    12.3  5    .944
NOAA-16(N)2591436    13.8  5   1.182
NOAA-14(S)2591456    11.5  5    .900
NOAA-15(N)2591513    24.5  7   1.083
NOAA-17(N)2591519    21.3  6   1.053
NOAA-16(S)2591527     9.3  4   1.129
NOAA-14(N)2591546    11.3  5    .976
NOAA-15(S)2591603    11.8  5   1.010
NOAA-17(S)2591609    12.1  5   1.011
NOAA-16(N)2591617    26.1  7   1.149
NOAA-14(S)2591637     8.1  4    .873
NOAA-15(N)2591653    13.5  5   1.115
NOAA-17(N)2591700    12.6  5   1.094
NOAA-16(S)2591708    12.6  5   1.056
NOAA-14(N)2591727     6.5  4    .991
NOAA-15(S)2591743    16.4  6   1.048
NOAA-17(S)2591750    10.4  5   1.100
NOAA-16(N)2591758    17.6  6    .943
