Output of newbins.pro
O branching ratios and cross sections.
  
 Wavelength Bins (A)  4s    2Do    2Po    4Pe    2Pe           TotIon   TotAbs
    0.50      1.00   0.29   0.33   0.21   0.10   0.07   0.00   0.00002   0.00002
    1.00      2.00   0.29   0.33   0.21   0.10   0.07   0.00   0.00020   0.00020
    2.00      4.00   0.29   0.33   0.21   0.10   0.07   0.00   0.00200   0.00200
    4.00      8.00   0.29   0.33   0.21   0.10   0.07   0.00   0.01200   0.01200
    8.00     18.00   0.29   0.33   0.21   0.10   0.07   0.00   0.70000   0.70000
   18.00     23.00   0.29   0.33   0.21   0.10   0.07   0.00   0.01835   0.01835
   23.00     32.00   0.30   0.32   0.21   0.10   0.07   0.00   0.06900   0.06900
   32.00     44.00   0.30   0.32   0.21   0.10   0.08   0.00   0.13666   0.13666
   44.00     60.00   0.30   0.32   0.21   0.10   0.08   0.00   0.24319   0.24319
   60.00     70.00   0.30   0.32   0.21   0.10   0.08   0.00   0.42550   0.42550
   70.00     80.00   0.30   0.32   0.21   0.10   0.08   0.00   0.64087   0.64087
   80.00     90.00   0.30   0.32   0.21   0.10   0.08   0.00   0.90414   0.90414
   90.00    100.00   0.30   0.32   0.21   0.10   0.08   0.00   1.12161   1.12161
  100.00    110.00   0.30   0.32   0.21   0.10   0.08   0.00   1.34034   1.34034
  110.00    120.00   0.30   0.32   0.21   0.10   0.08   0.00   1.61297   1.61297
  120.00    130.00   0.30   0.32   0.21   0.10   0.08   0.00   1.91172   1.91172
  130.00    140.00   0.30   0.32   0.21   0.10   0.08   0.00   2.08421   2.08421
  140.00    150.00   0.29   0.32   0.21   0.10   0.08   0.00   2.23123   2.23123
  150.00    160.00   0.28   0.33   0.21   0.10   0.08   0.00   2.32952   2.32952
  160.00    170.00   0.28   0.33   0.22   0.10   0.08   0.00   3.01771   3.01771
  170.00    180.00   0.27   0.33   0.22   0.10   0.08   0.00   3.44694   3.44694
  180.00    190.00   0.27   0.34   0.22   0.10   0.08   0.00   3.88188   3.88188
  190.00    200.00   0.27   0.34   0.22   0.10   0.08   0.00   4.20033   4.20033
  200.00    210.00   0.26   0.34   0.22   0.10   0.08   0.00   4.49605   4.49605
  210.00    220.00   0.26   0.34   0.22   0.10   0.07   0.00   4.86552   4.86552
  220.00    230.00   0.26   0.35   0.22   0.10   0.07   0.00   5.16985   5.16985
  230.00    240.00   0.26   0.35   0.23   0.10   0.07   0.00   5.42725   5.42725
  240.00    250.00   0.25   0.35   0.23   0.10   0.07   0.00   5.67214   5.67214
  250.00    260.00   0.25   0.36   0.23   0.10   0.07   0.00   6.05733   6.05733
  260.00    270.00   0.25   0.36   0.23   0.10   0.06   0.00   6.25857   6.25857
